證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
2356,英業達       ,200212,36883,8.39,0.383306318625529,0.60273,0.18778,0.071069,0.12848,0.019068,0.041542,0.80788,176.62,131.5,14.53,7.01,752.25,-11.32,9.7735,0,2002,1.0,2001,2002,gini,5,7
2353,宏碁         ,200212,64018,15.21,0.373563807642645,0.42785,0.26457,0.078762,0.12763,0.0016569,0.080558,0.62043,173.55,142.47,10.53,4.88,105.14,1453.22,86.3248,1,2002,1.0,2001,2002,gini,5,8
1718,中纖         ,200212,7617,4.99,0.628923938652318,0.52471,0.52306,-0.028937,-0.07308,0.04076,-0.072808,1.5255,87.61,49.18,7.16,4.9,-17.11,-7579.13,116.8337,1,2002,1.0,2001,2002,gini,5,9
1409,新纖         ,200212,7289,5.2,0.390004914445285,0.57778,0.41734,0.020864,0.047945,0.036452,0.034928,1.298,95.39,49.23,5.62,8.95,501.93,260.74,45.3846,1,2002,1.0,2001,2002,gini,5,10
1301,台塑         ,200312,269184,28.58,0.0422977979145428,1.2731,1.4434,0.086918,0.15385,0.094022,0.17451,0.77009,193.7,122.53,7.57,15.84,20.83,67.76,7.2428,1,2003,1.0,2002,2003,gini,5,1
2002,中鋼         ,200312,266555,12.07,0.972958334140635,0.7042,0.77721,0.15514,0.22909,0.30602,0.25294,0.47666,194.26,129.31,4.67,54.13,93.48,118.63,45.4018,1,2003,1.0,2002,2003,gini,5,2
1303,南亞         ,200312,322780,26.45,0.963530286843427,1.1678,1.015,0.058487,0.11443,0.076704,0.10009,0.95649,229.51,144.04,6.32,6.25,33.36,24.64,9.3384,1,2003,1.0,2002,2003,gini,5,3
3045,台灣大       ,200312,138644,22.12,0.811150885100285,1.4737,1.8762,0.094612,0.17548,0.30387,0.24568,0.85469,168.77,163.85,44.34,8.86,2.37,-10.9,29.6112,1,2003,1.0,2002,2003,gini,5,4
2357,華碩         ,200312,171130,174.29,0.361022049194661,5.3365,1.9969,0.094409,0.15525,0.054652,0.0581,0.64444,194.36,119.18,6.97,6.92,18.44,15.38,28.2173,1,2003,1.0,2002,2003,gini,5,5
2409,友達         ,200312,172783,25.11,0.675112416405115,1.1761,1.0393,0.099069,0.16901,0.15492,0.14934,0.70602,127.38,93.52,8.82,7.77,110.59,160.02,25.6073,1,2003,1.0,2002,2003,gini,5,6
2454,聯發科       ,200312,204653,143.37,0.586439614678918,2.5375,2.4003,0.39261,0.45792,0.39218,0.4337,0.16635,681.15,632.64,9.8,10.14,17.51,35.08,-15.317,0,2003,1.0,2002,2003,gini,5,7
1326,台化         ,200312,257354,28.02,0.189206843122376,1.166,1.1888,0.094629,0.16314,0.12707,0.16629,0.72399,221.51,108.38,5.2,13.35,52.81,61.28,20.1285,1,2003,1.0,2002,2003,gini,5,8
3012,廣輝         ,200312,52064,15.27,0.686223462984041,1.2187,1.7694,0.0067134,0.014366,0.0017664,0.02084,1.1399,148.22,128.6,7.59,4.32,-88.97,431.21,14.7348,1,2003,1.0,2002,2003,gini,5,9
5346,力晶         ,200312,56661,10.35,0.34237350316074,0.91029,1.5044,0.0021499,0.0044527,0.0084114,0.0073556,1.0711,73.49,50.73,6.65,10.87,114.44,111.28,56.5217,1,2003,1.0,2002,2003,gini,5,10
2347,聯強         ,200412,38833,22.58,0.15250063700247,0.94083,0.13635,0.053574,0.12292,0.020542,0.01808,1.2944,160.17,101.22,11.41,8.6,5.47,2.17,-2.0372,0,2004,1.0,2003,2004,gini,5,1
9921,巨大         ,200412,15269,32.88,0.119207259421287,1.6047,0.42514,0.078045,0.19776,0.060392,0.05261,1.534,144.16,81.83,4.26,5.09,7.78,1.2,23.0231,1,2004,1.0,2003,2004,gini,5,2
2610,華航         ,200412,56176,21.31,0.705571858131069,1.255,0.68698,0.019248,0.079443,0.058447,0.043491,3.1273,69.54,48.53,0.0,13.45,99.48,135.06,-1.7363,0,2004,0.875,2003,2004,gini,5,3
2207,和泰         ,200412,35501,47.64,0.832221475282818,1.6996,0.2942,0.079128,0.21235,0.039404,0.038465,1.6836,122.3,109.68,39.15,6.58,65.48,57.97,30.5835,1,2004,0.875,2003,2004,gini,5,4
2354,鴻準         ,200412,34948,34.2,0.617390171454084,1.7387,0.40464,0.079748,0.20702,0.052385,0.048183,1.5959,133.53,96.87,11.34,5.01,41.93,17.46,163.7719,1,2004,0.875,2003,2004,gini,5,5
2315,神達         ,200412,18709,11.3,0.578923492459094,0.64571,0.19473,0.042633,0.11309,0.027577,0.036042,1.6526,103.42,67.18,6.44,5.21,195.79,108.91,196.5487,1,2004,0.875,2003,2004,gini,5,6
2903,遠百         ,200412,17964,12.46,0.112615141025047,0.68162,0.1577,0.019388,0.068063,0.034181,0.019878,2.5106,42.92,32.51,25.14,62.46,34.76,1254.75,15.8106,1,2004,0.875,2003,2004,gini,5,7
2618,長榮航       ,200412,51034,24.06,0.500211324281102,1.8255,0.95212,0.027551,0.075228,0.057048,0.039234,1.7305,75.83,44.82,0.0,11.91,89.09,132.27,3.616,0,2004,0.875,2003,2004,gini,5,8
5903,全家         ,200412,10646,37.4,0.55230984450773,2.4317,0.26941,0.082965,0.21578,0.028559,0.023907,1.6008,100.65,74.16,20.96,79.22,24.88,18.43,10.4011,0,2004,0.875,2003,2004,gini,5,9
2524,京城         ,200412,9514,26.67,0.0331794059521274,1.5951,0.97478,0.1422,0.48642,0.27389,0.29724,2.4207,126.25,5.89,0.48,51.27,384.06,319.66,-8.3615,0,2004,0.875,2003,2004,gini,5,10
2323,中環         ,200512,37607,11.75,0.278875611145231,0.66535,1.0643,-0.0039965,-0.0072092,0.026469,-0.011698,0.80385,114.38,80.69,6.11,4.67,-77.08,43.04,-2.5532,0,2005,1.0,2004,2005,gini,5,1
2342,茂矽         ,200512,9240,14.5,0.99424301064405,1.063,0.61571,0.040988,0.06542,0.0011631,0.040034,0.5961,90.11,49.32,14.0,13.38,14473.16,-76.88,305.1034,1,2005,1.0,2004,2005,gini,5,2
1905,華紙         ,200512,7779,11.06,0.712414805789522,0.75392,0.96425,0.058676,0.075458,0.056658,0.10443,0.28601,344.86,221.49,4.55,6.35,-39.38,37.35,46.0217,1,2005,1.0,2004,2005,gini,5,3
2343,精業         ,200512,8778,9.82,0.396290248509775,0.66039,0.67077,0.021054,0.025465,0.048556,0.03126,0.20953,405.7,342.94,8.41,5.48,2118.97,251.69,-100.0,0,2005,1.0,2004,2005,gini,5,4
2374,佳能         ,200512,10639,20.0,0.263834041526795,1.4409,0.28169,0.053578,0.15328,0.028325,0.033425,1.8609,122.19,89.73,11.51,8.44,3357.93,744.82,-15.35,0,2005,1.0,2004,2005,gini,5,5
5522,遠雄         ,200512,13925,16.53,0.318104726150263,1.0509,0.81429,0.04658,0.12816,0.13226,0.099406,1.7515,160.67,19.0,0.53,8.68,-14.73,161.41,166.9087,1,2005,1.0,2004,2005,gini,5,6
2430,燦坤         ,200512,13297,30.63,0.169767066026489,1.2035,0.14517,0.015206,0.055651,0.038005,0.0088979,2.6599,100.41,48.35,5.29,17.2,-43.36,-202.57,-30.5256,0,2005,1.0,2004,2005,gini,5,7
1504,東元         ,200512,18161,7.47,0.311859945147533,0.42931,0.37257,0.028812,0.055723,0.0085239,0.049851,0.93406,140.92,77.91,3.07,5.49,-56.99,553.89,84.4712,1,2005,1.0,2004,2005,gini,5,8
8299,群聯         ,200512,7409,45.9,0.169608813454314,1.3544,0.3799,0.20546,0.33346,0.096611,0.093541,0.62297,246.08,171.28,12.25,7.15,62.32,69.4,182.0697,1,2005,0.7857142857142857,2004,2005,gini,5,9
2542,興富發       ,200512,8109,10.88,0.901208092653144,0.8711,0.83628,0.054489,0.1718,0.16074,0.16492,2.1528,148.42,25.94,0.44,6.63,50.18,99.27,89.614,1,2005,0.7857142857142857,2004,2005,gini,5,10
2317,鴻海         ,200612,1201592,135.58,0.195071533284261,2.6621,0.53063,0.095535,0.20974,0.05831,0.045338,1.1954,146.44,103.35,11.34,6.36,55.34,50.73,6.8299,0,2006,1.0,2005,2006,gini,5,1
5346,力晶         ,200612,151999,18.49,0.901990808706562,1.0022,1.3676,0.12276,0.21691,0.30126,0.29633,0.7669,146.2,117.89,6.25,10.51,414.26,328.28,-25.3651,0,2006,1.0,2005,2006,gini,5,2
3481,奇美電       ,200612,137469,47.59,0.734955925430014,3.1044,1.0411,0.030895,0.078803,0.043897,0.026734,1.5507,123.42,79.08,6.84,7.76,390.84,593.72,94.4106,1,2006,1.0,2005,2006,gini,5,3
