證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用準則,最大深度,選股類型
1710,東聯         ,199812,9988,7.72,0.133171007607162,0.63331,1.0997,0.051888,0.068905,0.12195,0.11959,0.32794,105.85,61.99,9.22,6.75,-33.72,-38.95,9.5855,1,1998,1997,1998,gini,5,預測為高於平均
2345,智邦         ,199812,9858,16.97,0.173388613119006,0.61642,0.42521,0.021777,0.038003,-0.02406,0.026207,0.74511,250.02,162.36,3.64,4.65,-6978.94,-55.61,153.0937,1,1998,1997,1998,gini,5,預測為高於平均
2106,建大         ,199812,9818,14.46,0.83137974283907,0.91461,0.64439,0.077474,0.13447,0.13114,0.094758,0.73571,148.67,105.47,4.47,4.55,49.33,42.21,-26.7635,0,1998,1997,1998,gini,5,預測為高於平均
2379,瑞昱         ,199812,9547,17.07,0.656859890973707,0.79285,0.90557,0.15551,0.18161,0.22675,0.20742,0.16779,474.77,394.1,5.05,5.31,41.93,4.27,113.0053,1,1998,1997,1998,gini,5,預測為高於平均
1726,永記         ,199812,9451,32.54,0.291984079961715,1.3496,0.818,0.13722,0.1788,0.13472,0.10837,0.30302,320.54,227.65,5.52,3.87,-17.74,-6.42,-25.5993,0,1998,1997,1998,gini,5,預測為高於平均
1608,華榮         ,199812,8680,8.72,0.951630464777727,0.61408,0.63696,0.061291,0.079578,0.079775,0.082535,0.29837,328.78,220.19,7.29,6.35,-4.95,-9.75,-8.945,0,1998,1997,1998,gini,5,預測為高於平均
1711,永光         ,199812,8623,16.72,0.269119426398556,1.1366,1.1986,0.054354,0.07341,0.11605,0.077387,0.3506,181.6,73.41,2.15,4.66,-15.53,-23.37,-46.4115,0,1998,1997,1998,gini,5,預測為高於平均
1313,聯成         ,199812,8555,8.49,0.422835615008808,0.65611,0.87436,0.014746,0.025575,-0.0061168,0.035728,0.73435,429.42,316.45,5.11,6.62,-116.28,332.79,42.5206,1,1998,1997,1998,gini,5,預測為高於平均
1419,新紡         ,199812,7986,25.51,0.128014399720173,2.3797,7.5251,0.0010791,0.0018918,-0.097612,0.0059839,0.75317,45.16,33.55,4.24,5.1,-14.61,-80.4,-39.9843,0,1998,1997,1998,gini,5,預測為高於平均
2305,全友         ,199812,7592,45.15,0.88186650045181,4.9183,2.2792,-0.057309,-0.14212,-0.11221,-0.066069,1.4799,199.82,118.4,2.52,4.87,-333.8,-180.96,-16.8992,0,1998,1997,1998,gini,5,預測為高於平均
2321,東訊         ,199812,7369,22.22,0.156404952226563,1.5126,0.45062,0.083098,0.14814,0.029627,0.047433,0.78275,156.07,86.4,5.31,6.01,101.32,53.11,72.1872,1,1998,1997,1998,gini,5,預測為高於平均
2369,菱生         ,199812,7173,19.79,0.482022061031856,0.91114,1.7591,0.08506,0.10015,0.14675,0.1933,0.17736,413.51,365.62,9.26,3.59,8.72,37.65,-21.6271,0,1998,1997,1998,gini,5,預測為高於平均
2386,國電         ,199812,7165,21.82,0.120611613297162,1.3502,0.41069,0.15452,0.2746,0.082267,0.08352,0.77713,175.05,129.31,12.43,6.16,151.71,84.4,240.1467,1,1998,1997,1998,gini,5,預測為高於平均
2521,宏總         ,199812,6889,15.7,0.226187679752676,1.0516,5.2333,-0.027725,-0.050662,-0.057845,-0.25252,0.82731,192.74,21.11,0.14,2.85,-138.09,-232.32,-76.1783,0,1998,1997,1998,gini,5,預測為高於平均
1522,堤維西       ,199812,6862,21.08,0.582986382747674,0.82992,0.74382,0.075072,0.12659,0.12797,0.11345,0.68625,129.85,97.04,7.34,3.9,87.77,46.68,-27.5142,0,1998,1997,1998,gini,5,預測為高於平均
2906,高林         ,199812,6384,7.16,0.817760559370642,0.53916,0.23506,0.059583,0.10337,0.056209,0.043613,0.73488,211.51,200.95,50.9,1.89,3.69,-24.43,-44.6927,0,1998,1997,1998,gini,5,預測為高於平均
1305,華夏         ,199812,6372,14.62,0.260727999055465,1.1594,0.80952,-0.0116,-0.026662,0.040363,-0.019037,1.2984,158.16,102.62,5.99,5.43,272.78,58.27,53.3516,1,1998,1997,1998,gini,5,預測為高於平均
1611,中電         ,199812,6322,8.95,0.594356250664331,0.65281,0.8388,0.038451,0.051745,0.042609,0.066492,0.34574,300.11,224.97,5.25,3.84,-40.02,-28.3,-11.0615,0,1998,1997,1998,gini,5,預測為高於平均
1417,嘉裕         ,199812,6273,15.46,0.0225125927402318,1.2672,2.427,0.030119,0.04041,0.026162,0.077435,0.34169,121.95,33.18,1.79,14.7,145.95,241.99,-56.0155,0,1998,1997,1998,gini,5,預測為高於平均
2010,春源         ,199812,6249,4.82,0.312718886820616,0.38254,0.22779,0.018024,0.030356,0.024059,0.018082,0.68421,160.7,87.62,3.32,3.94,-5.24,185.14,5.6017,0,1998,1997,1998,gini,5,預測為高於平均
2341,英群         ,199812,6144,100.68,0.16148474431175,7.5586,2.8757,-0.125,-0.31258,-0.13471,-0.11892,1.5006,137.82,52.51,3.35,4.63,-21142.77,-2349.95,13.9054,1,1998,1997,1998,gini,5,預測為高於平均
1110,東泥         ,199812,6104,7.49,0.178766186752368,0.50574,1.7179,0.024998,0.029408,0.14105,0.09977,0.1764,661.94,456.29,2.67,4.27,-18.47,-38.28,-7.2096,0,1998,1997,1998,gini,5,預測為高於平均
19992330,台積電       ,199912,1281037,41.84,0.422885689100085,2.3361,4.6696,0.09993,0.14696,0.29185,0.30833,0.4706,226.06,179.26,8.29,7.23,61.29,60.6,-38.8384,1,1999,1998,1999,gini,3,預測為高於平均
2303,聯電         ,199912,743462,54.04,0.0942293388877347,3.4052,10.3525,0.070755,0.0933,0.12076,0.31119,0.31863,161.25,144.18,8.04,6.59,1206.72,387.38,-49.4264,0,1999,1998,1999,gini,3,預測為高於平均
2357,華碩         ,199912,379458,361.65,0.598523668756741,9.8194,8.4616,0.29365,0.33831,0.25753,0.29153,0.1521,642.24,547.02,8.29,15.67,26.79,23.41,-59.6516,0,1999,1998,1999,gini,3,預測為高於平均
1303,南亞         ,199912,317729,24.31,0.470924256358334,1.0695,0.86512,0.043405,0.097009,0.082432,0.089716,1.235,140.53,82.85,4.18,6.55,30.6,27.7,-39.7367,1,1999,1998,1999,gini,3,預測為高於平均
2306,宏電         ,199912,291514,65.47,0.695949313301608,3.3922,1.122,0.062558,0.11742,0.014117,0.040307,0.87693,139.2,82.49,7.53,7.71,60.07,195.27,-80.3727,0,1999,1998,1999,gini,3,預測為高於平均
2382,廣達         ,199912,285224,51.58,0.699887849928292,2.3224,0.79415,0.23785,0.35921,0.11309,0.12282,0.51026,222.94,179.8,17.22,8.04,-2.5,0.39,-51.202,0,1999,1998,1999,gini,3,預測為高於平均
2317,鴻海         ,199912,257400,32.06,0.638530758271838,1.0142,0.60708,0.13219,0.21318,0.12621,0.12761,0.61271,198.04,138.76,6.18,4.97,25.3,36.09,-6.6126,1,1999,1998,1999,gini,3,預測為高於平均
2311,日月光       ,199912,221760,36.35,0.0336038360664295,2.3946,2.207,0.1008,0.22304,0.14869,0.23903,1.2128,132.4,110.5,11.42,5.88,70.67,300.45,-73.8927,0,1999,1998,1999,gini,3,預測為高於平均
1301,台塑         ,199912,220916,21.61,0.0688060991180512,0.99402,1.5832,0.053413,0.10325,0.090894,0.16449,0.93311,180.03,88.49,4.58,17.76,4.64,29.14,-18.0935,1,1999,1998,1999,gini,3,預測為高於平均
5387,茂德         ,199912,199500,48.05,0.319599735180496,2.9569,5.5293,0.11224,0.17703,0.42039,0.3311,0.57723,282.02,233.95,8.15,4.72,910.91,1181.18,-59.5213,0,1999,1998,1999,gini,3,預測為高於平均
2002,中鋼         ,199912,198642,7.01,0.530864280694127,0.47269,0.67146,0.073955,0.11865,0.1646,0.16824,0.60436,162.17,79.47,4.28,37.02,-18.5,-17.5,-6.8474,1,1999,1998,1999,gini,3,預測為高於平均
2371,大同         ,199912,156983,35.92,0.654445707757066,2.5916,1.276,0.032813,0.07122,0.040235,0.047284,1.1705,125.55,91.83,6.44,4.46,487.66,1115.65,-67.1492,0,1999,1998,1999,gini,3,預測為高於平均
2323,中環         ,199912,138948,52.91,0.407619197041153,2.2885,3.5226,0.18193,0.33389,0.32995,0.52358,0.83528,130.9,97.28,5.23,4.92,201.15,251.5,-72.4627,0,1999,1998,1999,gini,3,預測為高於平均
2337,旺宏         ,199912,128099,47.54,0.819981222781941,3.5398,5.6194,0.01817,0.034363,0.092865,0.054577,0.89116,179.94,112.49,3.34,5.69,539.71,158.6,-24.9684,1,1999,1998,1999,gini,3,預測為高於平均
1326,台化         ,199912,126599,13.25,0.718358943205884,0.625,0.90197,0.060178,0.12931,0.042278,0.18662,1.1487,140.86,55.56,2.91,11.0,-25.3,20.25,-23.6226,1,1999,1998,1999,gini,3,預測為高於平均
2324,仁寶         ,199912,124134,23.49,0.968649330231094,0.98449,0.57181,0.14451,0.1965,0.10329,0.11414,0.35971,204.7,133.97,9.11,8.37,3.16,11.19,-43.0396,1,1999,1998,1999,gini,3,預測為高於平均
2342,茂矽         ,199912,123500,251.88,0.531333906565675,15.8615,29.7379,0.057187,0.10111,-0.1772,0.18952,0.76802,183.08,127.49,3.99,5.87,-47.92,296.39,-59.9412,0,1999,1998,1999,gini,3,預測為高於平均
2349,錸德         ,199912,119826,62.83,0.32514568182056,1.0342,2.7863,0.098659,0.13765,0.40331,0.37076,0.39523,149.6,132.81,6.22,3.93,253.83,262.72,-57.6476,0,1999,1998,1999,gini,3,預測為高於平均
2352,佳世達       ,199912,115462,66.38,0.105629203329022,2.631,1.4187,0.050719,0.094164,0.01958,0.05211,0.85659,120.27,56.92,5.22,7.46,9.98,48.13,-69.4336,0,1999,1998,1999,gini,3,預測為高於平均
2308,台達電       ,199912,99896,33.35,0.610958658746201,1.2311,0.62865,0.10559,0.18009,0.089483,0.091959,0.70559,187.12,134.84,8.24,4.62,58.34,66.63,-1.8891,1,1999,1998,1999,gini,3,預測為高於平均
5346,力晶         ,199912,98658,26.01,0.778802241824093,1.5157,4.122,0.014007,0.02059,0.081383,0.056006,0.47001,212.12,184.76,5.79,6.61,131.69,117.76,-69.2042,0,1999,1998,1999,gini,3,預測為高於平均
2313,華通         ,199912,96176,107.27,0.423452918962738,5.0647,3.9135,0.052678,0.099756,0.11843,0.077093,0.89368,160.63,98.08,6.27,5.17,-55.88,-60.3,-1.5195,1,1999,1998,1999,gini,3,預測為高於平均
2356,英業達       ,199912,95190,20.56,0.0908232857874395,1.3137,0.36178,0.080304,0.17186,0.040371,0.048816,1.14,155.11,92.13,7.16,5.34,-22.53,-7.55,-57.2471,0,1999,1998,1999,gini,3,預測為高於平均
5347,世界         ,199912,90200,49.03,0.266471490779072,5.5464,8.2821,-0.049926,-0.095058,-0.15407,-0.14195,0.90398,181.24,126.51,6.11,7.34,60.29,62.81,-68.4071,0,1999,1998,1999,gini,3,預測為高於平均
